target,prime,rt,key,participant,prof,primetype,relationtype,rtprime,months,immersion,years,age
ТРАТИТЬ,потратить,0.822205,j,Hannuska,syv,related,derivation,der,3,yes,9,47
ЗВОНИТЬ,большой,0.64231,j,Hannuska,syv,related,derivation,der,3,yes,9,47
ПЛАКАТЬ,плакал,0.520625,j,Hannuska,syv,related,inflection,inf,3,yes,9,47
ВЫБРАТЬ,выбрал,0.554135,j,Hannuska,syv,related,inflection,inf,3,yes,9,47
ВСТРЕЧАТЬ,встречал,0.635995,j,Hannuska,syv,related,inflection,inf,3,yes,9,47
КРИЧАТЬ,кричал,0.565565,j,Hannuska,syv,related,inflection,inf,3,yes,9,47
СООБЩИТЬ,сообщил,0.69662,j,Hannuska,syv,related,inflection,inf,3,yes,9,47
УБИТЬ,убил,0.5418,j,Hannuska,syv,related,inflection,inf,3,yes,9,47
БЕЖАТЬ,бежал,0.6398,j,Hannuska,syv,related,inflection,inf,3,yes,9,47
УМЕТЬ,умел,0.64131,j,Hannuska,syv,related,inflection,inf,3,yes,9,47
ЗАБЫТЬ,забыл,0.56653,j,Hannuska,syv,related,inflection,inf,3,yes,9,47
СОБРАТЬ,собрал,0.638995,j,Hannuska,syv,related,inflection,inf,3,yes,9,47
СИДЕТЬ,первый,0.592465,j,Hannuska,syv,a_unrelated,derivation,unrel,3,yes,9,47
ДУМАТЬ,другой,0.63972,j,Hannuska,syv,a_unrelated,derivation,unrel,3,yes,9,47
ГОВОРИТЬ,все-таки,0.821905,j,Hannuska,syv,a_unrelated,derivation,unrel,3,yes,9,47
ДЕРЖАТЬ,работа,0.714015,j,Hannuska,syv,a_unrelated,derivation,unrel,3,yes,9,47
ВЕРИТЬ,самый,0.630535,j,Hannuska,syv,a_unrelated,derivation,unrel,3,yes,9,47
СТРОИТЬ,область,0.83901,j,Hannuska,syv,a_unrelated,derivation,unrel,3,yes,9,47
БРОСИТЬ,никакой,0.57908,j,Hannuska,syv,a_unrelated,inflection,unrel,3,yes,9,47
ПОНЯТЬ,хорошо,0.600095,j,Hannuska,syv,a_unrelated,inflection,unrel,3,yes,9,47
НАЧАТЬ,всякий,0.518925,j,Hannuska,syv,a_unrelated,inflection,unrel,3,yes,9,47
ПИСАТЬ,черный,0.57308,j,Hannuska,syv,a_unrelated,inflection,unrel,3,yes,9,47
РЕШИТЬ,далекий,0.580685,j,Hannuska,syv,a_unrelated,inflection,unrel,3,yes,9,47
СЛЫШАТЬ,история,1.069945,j,Hannuska,syv,a_unrelated,inflection,unrel,3,yes,9,47
ПОМНИТЬ,власть,0.764335,j,Hannuska,syv,a_unrelated,inflection,unrel,3,yes,9,47
УЗНАТЬ,тысяча,0.77531,j,Hannuska,syv,a_unrelated,inflection,unrel,3,yes,9,47
ОЖИДАТЬ,внимание,0.98288,j,Hannuska,syv,a_unrelated,inflection,unrel,3,yes,9,47
СНИМАТЬ,развитие,0.63343,j,Hannuska,syv,a_unrelated,inflection,unrel,3,yes,9,47
ГОВОРИТЬ,поговорить,0.636115,j,huoletonL2,perus,related,derivation,der,0,no,3,40
ВЕРИТЬ,поверить,1.03429,j,huoletonL2,perus,related,derivation,der,0,no,3,40
СТРОИТЬ,построить,0.78447,j,huoletonL2,perus,related,derivation,der,0,no,3,40
БРОСИТЬ,бросил,0.689145,j,huoletonL2,perus,related,inflection,inf,0,no,3,40
ПОНЯТЬ,понял,0.767205,j,huoletonL2,perus,related,inflection,inf,0,no,3,40
НАЧАТЬ,начал,0.83241,j,huoletonL2,perus,related,inflection,inf,0,no,3,40
ПИСАТЬ,писал,0.60425,j,huoletonL2,perus,related,inflection,inf,0,no,3,40
РЕШИТЬ,решил,0.67072,j,huoletonL2,perus,related,inflection,inf,0,no,3,40
СЛЫШАТЬ,слышал,0.684075,j,huoletonL2,perus,related,inflection,inf,0,no,3,40
ПОМНИТЬ,помнил,0.618395,j,huoletonL2,perus,related,inflection,inf,0,no,3,40
УЗНАТЬ,узнал,0.65707,j,huoletonL2,perus,related,inflection,inf,0,no,3,40
СНИМАТЬ,снимал,0.737085,j,huoletonL2,perus,related,inflection,inf,0,no,3,40
СТРАДАТЬ,машина,0.90111,j,huoletonL2,perus,a_unrelated,derivation,unrel,0,no,3,40
СМОТРЕТЬ,впрочем,0.649685,j,huoletonL2,perus,a_unrelated,derivation,unrel,0,no,3,40
СТОЯТЬ,палец,0.983335,j,huoletonL2,perus,a_unrelated,derivation,unrel,0,no,3,40
ИГРАТЬ,великий,0.616695,j,huoletonL2,perus,a_unrelated,derivation,unrel,0,no,3,40
СЛУШАТЬ,готовый,0.6042,j,huoletonL2,perus,a_unrelated,derivation,unrel,0,no,3,40
ПРОСИТЬ,близкий,0.61611,j,huoletonL2,perus,a_unrelated,derivation,unrel,0,no,3,40
КУРИТЬ,взгляд,0.619265,j,huoletonL2,perus,a_unrelated,derivation,unrel,0,no,3,40
СЧИТАТЬ,вторник,0.86634,j,huoletonL2,perus,a_unrelated,derivation,unrel,0,no,3,40
ЖЕЛАТЬ,принцип,0.651085,j,huoletonL2,perus,a_unrelated,derivation,unrel,0,no,3,40
ИСКАТЬ,мужчина,0.62992,j,huoletonL2,perus,a_unrelated,derivation,unrel,0,no,3,40
ТРАТИТЬ,задание,0.946995,j,huoletonL2,perus,a_unrelated,derivation,unrel,0,no,3,40
ДУМАТЬ,мысль,0.71691,j,huoletonL2,perus,a_unrelated,derivation,unrel,0,no,3,40
ПЛАКАТЬ,женщина,0.650515,j,huoletonL2,perus,a_unrelated,inflection,unrel,0,no,3,40
ВЫБРАТЬ,назад,0.6849,j,huoletonL2,perus,a_unrelated,inflection,unrel,0,no,3,40
СООБЩИТЬ,важный,0.73592,j,huoletonL2,perus,a_unrelated,inflection,unrel,0,no,3,40
УМЕТЬ,характер,0.66858,j,huoletonL2,perus,a_unrelated,inflection,unrel,0,no,3,40
СОБРАТЬ,сильный,0.83353,j,huoletonL2,perus,a_unrelated,inflection,unrel,0,no,3,40
СТРАДАТЬ,страдать,0.941,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
СМОТРЕТЬ,смотреть,0.704,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
СТОЯТЬ,стоять,0.69,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
ИГРАТЬ,играть,0.64,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
СТАВИТЬ,ставить,0.806,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
СЛУШАТЬ,слушать,0.575,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
ПРОСИТЬ,просить,0.775,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
КУРИТЬ,курить,0.638,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
ЖЕЛАТЬ,желать,0.588,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
ИСКАТЬ,искать,0.56,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
ТЕРЯТЬ,терять,0.837,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
ТРАТИТЬ,тратить,0.56,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
СИДЕТЬ,сидеть,0.523,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
ДУМАТЬ,думать,0.905,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
ГОВОРИТЬ,говорить,0.491,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
ЛЕЖАТЬ,лежать,0.655,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
ДЕРЖАТЬ,держать,0.637,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
ВЕРИТЬ,верить,0.606,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
СТРОИТЬ,строить,0.591,j,jenniraj L2,syv,identity,derivation,id,3,yes,7,23
ПЛАКАТЬ,плакать,0.689,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
ВЫБРАТЬ,выбрать,0.508,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
ВСТРЕЧАТЬ,встречать,0.573,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
СООБЩИТЬ,сообщить,0.588,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
УБИТЬ,убить,0.828,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
БЕЖАТЬ,бежать,0.707,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
БРОСИТЬ,бросить,0.772,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
УМЕТЬ,уметь,0.479,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
ПОНЯТЬ,понять,0.609,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
НАЧАТЬ,начать,0.575,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
ПИСАТЬ,писать,0.608,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
РЕШИТЬ,решить,0.538,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
СЛЫШАТЬ,слышать,0.804,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
ПОМНИТЬ,помнить,0.788,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
УЗНАТЬ,узнать,0.74,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
ОЖИДАТЬ,ожидать,0.724,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
СНИМАТЬ,снимать,0.69,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
ЗАБЫТЬ,забыть,0.739,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
СОБРАТЬ,собрать,0.621,j,jenniraj L2,syv,identity,inflection,id,3,yes,7,23
СТРАДАТЬ,страдать,0.616155,j,jm_L2,aine,identity,derivation,id,1,no,10,22
СМОТРЕТЬ,смотреть,0.55619,j,jm_L2,aine,identity,derivation,id,1,no,10,22
СТОЯТЬ,стоять,0.599335,j,jm_L2,aine,identity,derivation,id,1,no,10,22
ИГРАТЬ,играть,0.70557,j,jm_L2,aine,identity,derivation,id,1,no,10,22
СТАВИТЬ,ставить,0.615355,j,jm_L2,aine,identity,derivation,id,1,no,10,22
СЛУШАТЬ,слушать,0.56688,j,jm_L2,aine,identity,derivation,id,1,no,10,22
ПРОСИТЬ,просить,0.686375,j,jm_L2,aine,identity,derivation,id,1,no,10,22
КУРИТЬ,курить,0.61394,j,jm_L2,aine,identity,derivation,id,1,no,10,22
СЧИТАТЬ,считать,0.58494,j,jm_L2,aine,identity,derivation,id,1,no,10,22
ЖЕЛАТЬ,желать,0.550635,j,jm_L2,aine,identity,derivation,id,1,no,10,22
ИСКАТЬ,искать,0.60145,j,jm_L2,aine,identity,derivation,id,1,no,10,22
ТЕРЯТЬ,терять,0.55697,j,jm_L2,aine,identity,derivation,id,1,no,10,22
ТРАТИТЬ,тратить,0.57258,j,jm_L2,aine,identity,derivation,id,1,no,10,22
СИДЕТЬ,сидеть,0.53152,j,jm_L2,aine,identity,derivation,id,1,no,10,22
ДУМАТЬ,думать,0.57641,j,jm_L2,aine,identity,derivation,id,1,no,10,22
ГОВОРИТЬ,говорить,0.48104,j,jm_L2,aine,identity,derivation,id,1,no,10,22
ЛЕЖАТЬ,лежать,0.61683,j,jm_L2,aine,identity,derivation,id,1,no,10,22
ДЕРЖАТЬ,держать,0.844805,j,jm_L2,aine,identity,derivation,id,1,no,10,22
ВЕРИТЬ,верить,0.57197,j,jm_L2,aine,identity,derivation,id,1,no,10,22
СТРОИТЬ,строить,0.54649,j,jm_L2,aine,identity,derivation,id,1,no,10,22
ПЛАКАТЬ,плакать,0.53311,j,jm_L2,aine,identity,inflection,id,1,no,10,22
ВЫБРАТЬ,выбрать,0.60553,j,jm_L2,aine,identity,inflection,id,1,no,10,22
ВСТРЕЧАТЬ,встречать,0.52273,j,jm_L2,aine,identity,inflection,id,1,no,10,22
КРИЧАТЬ,кричать,0.8298,j,jm_L2,aine,identity,inflection,id,1,no,10,22
СООБЩИТЬ,сообщить,0.650765,j,jm_L2,aine,identity,inflection,id,1,no,10,22
УБИТЬ,убить,0.666095,j,jm_L2,aine,identity,inflection,id,1,no,10,22
БЕЖАТЬ,бежать,0.590385,j,jm_L2,aine,identity,inflection,id,1,no,10,22
БРОСИТЬ,бросить,0.58012,j,jm_L2,aine,identity,inflection,id,1,no,10,22
УМЕТЬ,уметь,0.58256,j,jm_L2,aine,identity,inflection,id,1,no,10,22
ПОНЯТЬ,понять,0.83898,j,jm_L2,aine,identity,inflection,id,1,no,10,22
НАЧАТЬ,начать,0.57986,j,jm_L2,aine,identity,inflection,id,1,no,10,22
ПИСАТЬ,писать,0.637805,j,jm_L2,aine,identity,inflection,id,1,no,10,22
РЕШИТЬ,решить,0.65012,j,jm_L2,aine,identity,inflection,id,1,no,10,22
СЛЫШАТЬ,слышать,0.49698,j,jm_L2,aine,identity,inflection,id,1,no,10,22
ПОМНИТЬ,помнить,0.629605,j,jm_L2,aine,identity,inflection,id,1,no,10,22
УЗНАТЬ,узнать,0.66955,j,jm_L2,aine,identity,inflection,id,1,no,10,22
ОЖИДАТЬ,ожидать,0.58976,j,jm_L2,aine,identity,inflection,id,1,no,10,22
СНИМАТЬ,снимать,0.56669,j,jm_L2,aine,identity,inflection,id,1,no,10,22
ЗАБЫТЬ,забыть,0.63317,j,jm_L2,aine,identity,inflection,id,1,no,10,22
СОБРАТЬ,собрать,0.76279,j,jm_L2,aine,identity,inflection,id,1,no,10,22
СТРАДАТЬ,пострадать,0.556355,j,Johonu_L2,syv,related,derivation,der,1,no,12,25
СМОТРЕТЬ,посмотреть,0.5368,j,Johonu_L2,syv,related,derivation,der,1,no,12,25
СТОЯТЬ,постоять,0.55817,j,Johonu_L2,syv,related,derivation,der,1,no,12,25
ИГРАТЬ,поиграть,0.53501,j,Johonu_L2,syv,related,derivation,der,1,no,12,25
СТАВИТЬ,поставить,0.468515,j,Johonu_L2,syv,related,derivation,der,1,no,12,25
СЛУШАТЬ,послушать,0.47491,j,Johonu_L2,syv,related,derivation,der,1,no,12,25
ПРОСИТЬ,попросить,0.55828,j,Johonu_L2,syv,related,derivation,der,1,no,12,25
КУРИТЬ,покурить,0.57476,j,Johonu_L2,syv,related,derivation,der,1,no,12,25
СЧИТАТЬ,посчитать,0.713095,j,Johonu_L2,syv,related,derivation,der,1,no,12,25
ЖЕЛАТЬ,пожелать,0.52227,j,Johonu_L2,syv,related,derivation,der,1,no,12,25
ИСКАТЬ,поискать,0.49203,j,Johonu_L2,syv,related,derivation,der,1,no,12,25
ТЕРЯТЬ,потерять,0.54036,j,Johonu_L2,syv,related,derivation,der,1,no,12,25
ТРАТИТЬ,потратить,0.61796,j,Johonu_L2,syv,related,derivation,der,1,no,12,25
ЛЕЖАТЬ,полежать,0.500455,j,Johonu_L2,syv,related,derivation,der,1,no,12,25
ПЛАКАТЬ,плакал,0.541025,j,Johonu_L2,syv,related,inflection,inf,1,no,12,25
ВЫБРАТЬ,выбрал,0.511095,j,Johonu_L2,syv,related,inflection,inf,1,no,12,25
ВСТРЕЧАТЬ,встречал,0.50731,j,Johonu_L2,syv,related,inflection,inf,1,no,12,25
КРИЧАТЬ,кричал,0.614815,j,Johonu_L2,syv,related,inflection,inf,1,no,12,25
СООБЩИТЬ,сообщил,0.5054,j,Johonu_L2,syv,related,inflection,inf,1,no,12,25
УБИТЬ,убил,0.49007,j,Johonu_L2,syv,related,inflection,inf,1,no,12,25
БЕЖАТЬ,бежал,0.47732,j,Johonu_L2,syv,related,inflection,inf,1,no,12,25
УМЕТЬ,умел,0.509205,j,Johonu_L2,syv,related,inflection,inf,1,no,12,25
ЗАБЫТЬ,забыл,0.478825,j,Johonu_L2,syv,related,inflection,inf,1,no,12,25
СОБРАТЬ,собрал,0.50866,j,Johonu_L2,syv,related,inflection,inf,1,no,12,25
СИДЕТЬ,первый,0.55756,j,Johonu_L2,syv,a_unrelated,derivation,unrel,1,no,12,25
ДУМАТЬ,другой,0.61363,j,Johonu_L2,syv,a_unrelated,derivation,unrel,1,no,12,25
ГОВОРИТЬ,все-таки,0.56545,j,Johonu_L2,syv,a_unrelated,derivation,unrel,1,no,12,25
ДЕРЖАТЬ,работа,0.565805,j,Johonu_L2,syv,a_unrelated,derivation,unrel,1,no,12,25
ВЕРИТЬ,самый,0.590355,j,Johonu_L2,syv,a_unrelated,derivation,unrel,1,no,12,25
СТРОИТЬ,область,0.663915,j,Johonu_L2,syv,a_unrelated,derivation,unrel,1,no,12,25
БРОСИТЬ,никакой,0.542755,j,Johonu_L2,syv,a_unrelated,inflection,unrel,1,no,12,25
ПОНЯТЬ,хорошо,0.54227,j,Johonu_L2,syv,a_unrelated,inflection,unrel,1,no,12,25
НАЧАТЬ,всякий,0.74712,j,Johonu_L2,syv,a_unrelated,inflection,unrel,1,no,12,25
ПИСАТЬ,черный,0.655675,j,Johonu_L2,syv,a_unrelated,inflection,unrel,1,no,12,25
РЕШИТЬ,далекий,0.54328,j,Johonu_L2,syv,a_unrelated,inflection,unrel,1,no,12,25
СЛЫШАТЬ,история,0.53914,j,Johonu_L2,syv,a_unrelated,inflection,unrel,1,no,12,25
ПОМНИТЬ,власть,0.52631,j,Johonu_L2,syv,a_unrelated,inflection,unrel,1,no,12,25
УЗНАТЬ,тысяча,0.58023,j,Johonu_L2,syv,a_unrelated,inflection,unrel,1,no,12,25
ОЖИДАТЬ,внимание,0.588665,j,Johonu_L2,syv,a_unrelated,inflection,unrel,1,no,12,25
СНИМАТЬ,развитие,0.515195,j,Johonu_L2,syv,a_unrelated,inflection,unrel,1,no,12,25
СТРАДАТЬ,страдать,0.700925,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
СМОТРЕТЬ,смотреть,0.635095,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
СТОЯТЬ,стоять,0.582445,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
ИГРАТЬ,играть,0.650445,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
СТАВИТЬ,ставить,0.56782,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
СЛУШАТЬ,слушать,0.636005,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
ПРОСИТЬ,просить,0.8722,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
КУРИТЬ,курить,0.51614,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
СЧИТАТЬ,считать,0.869695,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
ЖЕЛАТЬ,желать,0.60245,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
ИСКАТЬ,искать,0.520255,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
ТЕРЯТЬ,терять,0.536105,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
ТРАТИТЬ,тратить,0.59373,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
СИДЕТЬ,сидеть,0.62238,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
ДУМАТЬ,думать,0.52695,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
ГОВОРИТЬ,говорить,0.577055,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
ЛЕЖАТЬ,лежать,0.6277,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
ДЕРЖАТЬ,держать,0.551605,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
ВЕРИТЬ,верить,0.54208,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
СТРОИТЬ,строить,0.606235,j,Keem_L2,syv,identity,derivation,id,24,yes,10,48
ПЛАКАТЬ,плакать,0.619865,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
ВЫБРАТЬ,выбрать,0.60583,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
ВСТРЕЧАТЬ,встречать,0.705915,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
КРИЧАТЬ,кричать,0.68515,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
СООБЩИТЬ,сообщить,0.732885,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
БЕЖАТЬ,бежать,0.682515,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
БРОСИТЬ,бросить,0.63291,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
УМЕТЬ,уметь,0.57076,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
ПОНЯТЬ,понять,0.65908,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
НАЧАТЬ,начать,0.58909,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
ПИСАТЬ,писать,0.807775,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
РЕШИТЬ,решить,0.60232,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
СЛЫШАТЬ,слышать,0.622805,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
ПОМНИТЬ,помнить,0.742725,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
УЗНАТЬ,узнать,0.64324,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
ОЖИДАТЬ,ожидать,0.944805,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
СНИМАТЬ,снимать,0.55552,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
ЗАБЫТЬ,забыть,0.877505,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
СОБРАТЬ,собрать,0.577445,j,Keem_L2,syv,identity,inflection,id,24,yes,10,48
СТРАДАТЬ,страдать,0.681,j,KM,aine,identity,derivation,id,18,yes,6,36
СМОТРЕТЬ,смотреть,0.582,j,KM,aine,identity,derivation,id,18,yes,6,36
СТОЯТЬ,стоять,0.631,j,KM,aine,identity,derivation,id,18,yes,6,36
ИГРАТЬ,играть,0.75,j,KM,aine,identity,derivation,id,18,yes,6,36
СТАВИТЬ,ставить,0.635,j,KM,aine,identity,derivation,id,18,yes,6,36
СЛУШАТЬ,слушать,0.631,j,KM,aine,identity,derivation,id,18,yes,6,36
ПРОСИТЬ,просить,0.648,j,KM,aine,identity,derivation,id,18,yes,6,36
КУРИТЬ,курить,0.548,j,KM,aine,identity,derivation,id,18,yes,6,36
СЧИТАТЬ,считать,1.222,j,KM,aine,identity,derivation,id,18,yes,6,36
ЖЕЛАТЬ,желать,0.668,j,KM,aine,identity,derivation,id,18,yes,6,36
ИСКАТЬ,искать,0.666,j,KM,aine,identity,derivation,id,18,yes,6,36
ТЕРЯТЬ,терять,0.899,j,KM,aine,identity,derivation,id,18,yes,6,36
ТРАТИТЬ,тратить,0.715,j,KM,aine,identity,derivation,id,18,yes,6,36
СИДЕТЬ,сидеть,0.684,j,KM,aine,identity,derivation,id,18,yes,6,36
ДУМАТЬ,думать,0.89,j,KM,aine,identity,derivation,id,18,yes,6,36
ГОВОРИТЬ,говорить,0.532,j,KM,aine,identity,derivation,id,18,yes,6,36
ЛЕЖАТЬ,лежать,0.732,j,KM,aine,identity,derivation,id,18,yes,6,36
ДЕРЖАТЬ,держать,0.615,j,KM,aine,identity,derivation,id,18,yes,6,36
ВЕРИТЬ,верить,0.62,j,KM,aine,identity,derivation,id,18,yes,6,36
СТРОИТЬ,строить,0.765,j,KM,aine,identity,derivation,id,18,yes,6,36
ПЛАКАТЬ,плакать,0.654,j,KM,aine,identity,inflection,id,18,yes,6,36
ВЫБРАТЬ,выбрать,1.031,j,KM,aine,identity,inflection,id,18,yes,6,36
ВСТРЕЧАТЬ,встречать,0.731,j,KM,aine,identity,inflection,id,18,yes,6,36
КРИЧАТЬ,кричать,0.767,j,KM,aine,identity,inflection,id,18,yes,6,36
СООБЩИТЬ,сообщить,0.717,j,KM,aine,identity,inflection,id,18,yes,6,36
УБИТЬ,убить,0.616,j,KM,aine,identity,inflection,id,18,yes,6,36
БЕЖАТЬ,бежать,0.865,j,KM,aine,identity,inflection,id,18,yes,6,36
БРОСИТЬ,бросить,0.636,j,KM,aine,identity,inflection,id,18,yes,6,36
УМЕТЬ,уметь,0.536,j,KM,aine,identity,inflection,id,18,yes,6,36
ПОНЯТЬ,понять,0.724,j,KM,aine,identity,inflection,id,18,yes,6,36
НАЧАТЬ,начать,0.541,j,KM,aine,identity,inflection,id,18,yes,6,36
ПИСАТЬ,писать,0.735,j,KM,aine,identity,inflection,id,18,yes,6,36
РЕШИТЬ,решить,0.75,j,KM,aine,identity,inflection,id,18,yes,6,36
СЛЫШАТЬ,слышать,0.598,j,KM,aine,identity,inflection,id,18,yes,6,36
ПОМНИТЬ,помнить,0.957,j,KM,aine,identity,inflection,id,18,yes,6,36
УЗНАТЬ,узнать,0.731,j,KM,aine,identity,inflection,id,18,yes,6,36
ОЖИДАТЬ,ожидать,0.72,j,KM,aine,identity,inflection,id,18,yes,6,36
СНИМАТЬ,снимать,0.851,j,KM,aine,identity,inflection,id,18,yes,6,36
ЗАБЫТЬ,забыть,0.636,j,KM,aine,identity,inflection,id,18,yes,6,36
СОБРАТЬ,собрать,1.223,j,KM,aine,identity,inflection,id,18,yes,6,36
СИДЕТЬ,посидеть,0.68968,j,Konona_L2,aine,related,derivation,der,0,no,12,21
ГОВОРИТЬ,поговорить,0.717355,j,Konona_L2,aine,related,derivation,der,0,no,12,21
ДЕРЖАТЬ,подержать,0.668235,j,Konona_L2,aine,related,derivation,der,0,no,12,21
ВЕРИТЬ,поверить,1.07484,j,Konona_L2,aine,related,derivation,der,0,no,12,21
СТРОИТЬ,построить,0.84498,j,Konona_L2,aine,related,derivation,der,0,no,12,21
БРОСИТЬ,бросил,0.67226,j,Konona_L2,aine,related,inflection,inf,0,no,12,21
ПОНЯТЬ,понял,0.79425,j,Konona_L2,aine,related,inflection,inf,0,no,12,21
НАЧАТЬ,начал,1.216255,j,Konona_L2,aine,related,inflection,inf,0,no,12,21
ПИСАТЬ,писал,0.64135,j,Konona_L2,aine,related,inflection,inf,0,no,12,21
РЕШИТЬ,решил,0.645875,j,Konona_L2,aine,related,inflection,inf,0,no,12,21
СЛЫШАТЬ,слышал,1.017,j,Konona_L2,aine,related,inflection,inf,0,no,12,21
ПОМНИТЬ,помнил,1.57678,j,Konona_L2,aine,related,inflection,inf,0,no,12,21
УЗНАТЬ,узнал,0.7278,j,Konona_L2,aine,related,inflection,inf,0,no,12,21
ОЖИДАТЬ,ожидал,0.959245,j,Konona_L2,aine,related,inflection,inf,0,no,12,21
СНИМАТЬ,снимал,1.55024,j,Konona_L2,aine,related,inflection,inf,0,no,12,21
СТРАДАТЬ,машина,0.954915,j,Konona_L2,aine,a_unrelated,derivation,unrel,0,no,12,21
СМОТРЕТЬ,впрочем,0.801575,j,Konona_L2,aine,a_unrelated,derivation,unrel,0,no,12,21
СТОЯТЬ,палец,0.72804,j,Konona_L2,aine,a_unrelated,derivation,unrel,0,no,12,21
ИГРАТЬ,великий,0.78382,j,Konona_L2,aine,a_unrelated,derivation,unrel,0,no,12,21
СТАВИТЬ,очередь,1.26144,j,Konona_L2,aine,a_unrelated,derivation,unrel,0,no,12,21
СЛУШАТЬ,готовый,0.946845,j,Konona_L2,aine,a_unrelated,derivation,unrel,0,no,12,21
ПРОСИТЬ,близкий,1.435135,j,Konona_L2,aine,a_unrelated,derivation,unrel,0,no,12,21
КУРИТЬ,взгляд,0.7018,j,Konona_L2,aine,a_unrelated,derivation,unrel,0,no,12,21
СЧИТАТЬ,вторник,1.069455,j,Konona_L2,aine,a_unrelated,derivation,unrel,0,no,12,21
ЖЕЛАТЬ,принцип,0.772635,j,Konona_L2,aine,a_unrelated,derivation,unrel,0,no,12,21
ИСКАТЬ,мужчина,0.66998,j,Konona_L2,aine,a_unrelated,derivation,unrel,0,no,12,21
ТЕРЯТЬ,метод,1.597615,j,Konona_L2,aine,a_unrelated,derivation,unrel,0,no,12,21
