target,prime,rt,key,participant,primetype,relationtype,primert,paikka
ВСТРЕЧАТЬ,встречал,0.553400000000693,j,L211,related,inflection,inf,labra
КРИЧАТЬ,кричал,0.465558699999747,j,L211,related,inflection,inf,labra
СООБЩИТЬ,сообщил,0.635302200000297,j,L211,related,inflection,inf,labra
УБИТЬ,убил,0.416323299999931,j,L211,related,inflection,inf,labra
БЕЖАТЬ,бежал,0.474118800000724,j,L211,related,inflection,inf,labra
БРОСИТЬ,никакой,0.344281300000148,j,L211,unrelated,inflection,unrel,labra
УМЕТЬ,умел,0.680604099999982,j,L211,related,inflection,inf,labra
ПОНЯТЬ,хорошо,0.644759700000577,j,L211,unrelated,inflection,unrel,labra
НАЧАТЬ,всякий,0.513480499999787,j,L211,unrelated,inflection,unrel,labra
ПИСАТЬ,черный,0.541538800000126,j,L211,unrelated,inflection,unrel,labra
РЕШИТЬ,далекий,0.690635400000247,j,L211,unrelated,inflection,unrel,labra
СЛЫШАТЬ,история,0.90801780000038,j,L211,unrelated,inflection,unrel,labra
ПОМНИТЬ,власть,0.337454500000604,j,L211,unrelated,inflection,unrel,labra
УЗНАТЬ,тысяча,0.518630100001246,j,L211,unrelated,inflection,unrel,labra
СНИМАТЬ,развитие,0.54840460000014,j,L211,unrelated,inflection,unrel,labra
ЗАБЫТЬ,забыл,0.459912300000724,j,L211,related,inflection,inf,labra
СОБРАТЬ,собрал,0.620631499999945,j,L211,related,inflection,inf,labra
СТРАДАТЬ,пострадать,0.813088800001424,j,L213,related,derivation,der,labra
СМОТРЕТЬ,посмотреть,0.751560500008054,j,L213,related,derivation,der,labra
СТОЯТЬ,постоять,0.646694099996239,j,L213,related,derivation,der,labra
ИГРАТЬ,поиграть,0.5589702000143,j,L213,related,derivation,der,labra
СТАВИТЬ,поставить,0.590566599974409,j,L213,related,derivation,der,labra
СЛУШАТЬ,послушать,0.580775399983395,j,L213,related,derivation,der,labra
ПРОСИТЬ,попросить,0.60427750000963,j,L213,related,derivation,der,labra
КУРИТЬ,покурить,0.591437400027644,j,L213,related,derivation,der,labra
СЧИТАТЬ,посчитать,0.600942500052042,j,L213,related,derivation,der,labra
ЖЕЛАТЬ,пожелать,1.04780010000104,j,L213,related,derivation,der,labra
ИСКАТЬ,поискать,0.80353340000147,j,L213,related,derivation,der,labra
ТЕРЯТЬ,потерять,0.791952900006436,j,L213,related,derivation,der,labra
ТРАТИТЬ,потратить,0.640977699949872,j,L213,related,derivation,der,labra
СИДЕТЬ,первый,0.63905200001318,j,L213,unrelated,derivation,unrel,labra
ДУМАТЬ,другой,0.582678199978545,j,L213,unrelated,derivation,unrel,labra
ГОВОРИТЬ,все-таки,0.634597300027963,j,L213,unrelated,derivation,unrel,labra
ЛЕЖАТЬ,полежать,0.558413799968548,j,L213,related,derivation,der,labra
ДЕРЖАТЬ,работа,0.803744500037283,j,L213,unrelated,derivation,unrel,labra
ВЕРИТЬ,самый,1.07350589998532,j,L213,unrelated,derivation,unrel,labra
СТРОИТЬ,область,0.832995400007349,j,L213,unrelated,derivation,unrel,labra
ПЛАКАТЬ,плакал,1.04464630002622,j,L213,related,inflection,inf,labra
ВЫБРАТЬ,выбрал,0.657331899972633,j,L213,related,inflection,inf,labra
ВСТРЕЧАТЬ,встречал,1.31816230004188,j,L213,related,inflection,inf,labra
КРИЧАТЬ,кричал,0.603108000010252,j,L213,related,inflection,inf,labra
СООБЩИТЬ,сообщил,0.643608399957884,j,L213,related,inflection,inf,labra
УБИТЬ,убил,0.728612700011581,j,L213,related,inflection,inf,labra
БЕЖАТЬ,бежал,0.656520200020168,j,L213,related,inflection,inf,labra
БРОСИТЬ,никакой,0.564839099999517,j,L213,unrelated,inflection,unrel,labra
УМЕТЬ,умел,0.841981300036423,j,L213,related,inflection,inf,labra
ПОНЯТЬ,хорошо,1.12712249998003,j,L213,unrelated,inflection,unrel,labra
НАЧАТЬ,всякий,0.636238200007938,j,L213,unrelated,inflection,unrel,labra
ПИСАТЬ,черный,0.599808699975256,j,L213,unrelated,inflection,unrel,labra
РЕШИТЬ,далекий,0.663156400027219,j,L213,unrelated,inflection,unrel,labra
СЛЫШАТЬ,история,0.66835190000711,j,L213,unrelated,inflection,unrel,labra
ПОМНИТЬ,власть,1.12110590003431,j,L213,unrelated,inflection,unrel,labra
УЗНАТЬ,тысяча,0.551560599997174,j,L213,unrelated,inflection,unrel,labra
ОЖИДАТЬ,внимание,0.890373900008854,j,L213,unrelated,inflection,unrel,labra
СНИМАТЬ,развитие,0.619292700022925,j,L213,unrelated,inflection,unrel,labra
ЗАБЫТЬ,забыл,0.682625999965239,j,L213,related,inflection,inf,labra
СОБРАТЬ,собрал,1.00524530000985,j,L213,related,inflection,inf,labra
СТРАДАТЬ,пострадать,0.612378600053489,j,L215,related,derivation,der,labra
СМОТРЕТЬ,посмотреть,0.546215899987146,j,L215,related,derivation,der,labra
СТОЯТЬ,постоять,0.717903800075874,j,L215,related,derivation,der,labra
ИГРАТЬ,поиграть,0.580247099976987,j,L215,related,derivation,der,labra
СТАВИТЬ,поставить,1.09433689992875,j,L215,related,derivation,der,labra
СЛУШАТЬ,послушать,0.638684699893929,j,L215,related,derivation,der,labra
ПРОСИТЬ,попросить,0.766193600022234,j,L215,related,derivation,der,labra
КУРИТЬ,покурить,0.631987300002947,j,L215,related,derivation,der,labra
СЧИТАТЬ,посчитать,0.611005899962038,j,L215,related,derivation,der,labra
ЖЕЛАТЬ,пожелать,0.534213699982502,j,L215,related,derivation,der,labra
ИСКАТЬ,поискать,0.63689099997282,j,L215,related,derivation,der,labra
ТЕРЯТЬ,потерять,0.668236800003797,j,L215,related,derivation,der,labra
ТРАТИТЬ,потратить,0.746732499916106,j,L215,related,derivation,der,labra
СИДЕТЬ,первый,0.520101999980398,j,L215,unrelated,derivation,unrel,labra
ДУМАТЬ,другой,0.670882700011134,j,L215,unrelated,derivation,unrel,labra
ЛЕЖАТЬ,полежать,0.636992300045677,j,L215,related,derivation,der,labra
ДЕРЖАТЬ,работа,0.903891800087877,j,L215,unrelated,derivation,unrel,labra
ВЕРИТЬ,самый,0.745649899938144,j,L215,unrelated,derivation,unrel,labra
СТРОИТЬ,область,0.789154500002041,j,L215,unrelated,derivation,unrel,labra
ПЛАКАТЬ,плакал,0.6164240000071,j,L215,related,inflection,inf,labra
ВСТРЕЧАТЬ,встречал,0.637796199996956,j,L215,related,inflection,inf,labra
КРИЧАТЬ,кричал,0.629535499960184,j,L215,related,inflection,inf,labra
СООБЩИТЬ,сообщил,0.786872699973173,j,L215,related,inflection,inf,labra
УБИТЬ,убил,0.72752810001839,j,L215,related,inflection,inf,labra
БЕЖАТЬ,бежал,0.680675900075585,j,L215,related,inflection,inf,labra
БРОСИТЬ,никакой,0.748539399937727,j,L215,unrelated,inflection,unrel,labra
УМЕТЬ,умел,0.708740099915303,j,L215,related,inflection,inf,labra
ПОНЯТЬ,хорошо,0.987952099996619,j,L215,unrelated,inflection,unrel,labra
ПИСАТЬ,черный,0.708441199967638,j,L215,unrelated,inflection,unrel,labra
РЕШИТЬ,далекий,0.622270399937406,j,L215,unrelated,inflection,unrel,labra
ПОМНИТЬ,власть,0.971483499975875,j,L215,unrelated,inflection,unrel,labra
УЗНАТЬ,тысяча,0.591515999985859,j,L215,unrelated,inflection,unrel,labra
ОЖИДАТЬ,внимание,0.808571800007485,j,L215,unrelated,inflection,unrel,labra
СНИМАТЬ,развитие,0.825878600007854,j,L215,unrelated,inflection,unrel,labra
СТРАДАТЬ,пострадать,0.670549900038168,j,L217,related,derivation,der,labra
СМОТРЕТЬ,посмотреть,0.55277179996483,j,L217,related,derivation,der,labra
СТОЯТЬ,постоять,0.540577400010079,j,L217,related,derivation,der,labra
ИГРАТЬ,поиграть,0.596435399958864,j,L217,related,derivation,der,labra
