target,prime,rt,key,participant,prof,primetype,relationtype,primert,paikka,immersion,age,years
ТЕРЯТЬ,потерять,0.573816699907184,j,L27,syv,related,derivation,der,labra,yes,26,15
ТРАТИТЬ,потратить,0.601367399794981,j,L27,syv,related,derivation,der,labra,yes,26,15
СИДЕТЬ,первый,0.614687799941748,j,L27,syv,a_unrelated,derivation,unrel,labra,yes,26,15
ДУМАТЬ,другой,0.509144000010565,j,L27,syv,a_unrelated,derivation,unrel,labra,yes,26,15
ГОВОРИТЬ,все-таки,0.77820760011673,j,L27,syv,a_unrelated,derivation,unrel,labra,yes,26,15
ЛЕЖАТЬ,полежать,0.673553999979049,j,L27,syv,related,derivation,der,labra,yes,26,15
ДЕРЖАТЬ,работа,0.993518699891865,j,L27,syv,a_unrelated,derivation,unrel,labra,yes,26,15
ВЕРИТЬ,самый,0.824583900161088,j,L27,syv,a_unrelated,derivation,unrel,labra,yes,26,15
СТРОИТЬ,область,0.749674600083381,j,L27,syv,a_unrelated,derivation,unrel,labra,yes,26,15
ПЛАКАТЬ,плакал,0.581745700212196,j,L27,syv,related,inflection,inf,labra,yes,26,15
ВЫБРАТЬ,выбрал,0.631904999958351,j,L27,syv,related,inflection,inf,labra,yes,26,15
ВСТРЕЧАТЬ,встречал,0.562566899927333,j,L27,syv,related,inflection,inf,labra,yes,26,15
КРИЧАТЬ,кричал,0.618648500181735,j,L27,syv,related,inflection,inf,labra,yes,26,15
СООБЩИТЬ,сообщил,0.743923800066114,j,L27,syv,related,inflection,inf,labra,yes,26,15
УБИТЬ,убил,1.12767540011555,j,L27,syv,related,inflection,inf,labra,yes,26,15
БЕЖАТЬ,бежал,0.822308800183237,j,L27,syv,related,inflection,inf,labra,yes,26,15
БРОСИТЬ,никакой,0.665018699830398,j,L27,syv,a_unrelated,inflection,unrel,labra,yes,26,15
УМЕТЬ,умел,0.641108099836856,j,L27,syv,related,inflection,inf,labra,yes,26,15
ПОНЯТЬ,хорошо,0.651083400007337,j,L27,syv,a_unrelated,inflection,unrel,labra,yes,26,15
НАЧАТЬ,всякий,0.744041500147432,j,L27,syv,a_unrelated,inflection,unrel,labra,yes,26,15
ПИСАТЬ,черный,0.632826799992472,j,L27,syv,a_unrelated,inflection,unrel,labra,yes,26,15
РЕШИТЬ,далекий,0.615677100140601,j,L27,syv,a_unrelated,inflection,unrel,labra,yes,26,15
СЛЫШАТЬ,история,0.648142000194639,j,L27,syv,a_unrelated,inflection,unrel,labra,yes,26,15
ПОМНИТЬ,власть,0.721052999841049,j,L27,syv,a_unrelated,inflection,unrel,labra,yes,26,15
УЗНАТЬ,тысяча,0.736690899822861,j,L27,syv,a_unrelated,inflection,unrel,labra,yes,26,15
ОЖИДАТЬ,внимание,0.707359000109136,j,L27,syv,a_unrelated,inflection,unrel,labra,yes,26,15
СНИМАТЬ,развитие,0.766937599983066,j,L27,syv,a_unrelated,inflection,unrel,labra,yes,26,15
ЗАБЫТЬ,забыл,0.521446499973536,j,L27,syv,related,inflection,inf,labra,yes,26,15
СОБРАТЬ,собрал,0.675017600180581,j,L27,syv,related,inflection,inf,labra,yes,26,15
СТРАДАТЬ,пострадать,0.536297799999374,j,L29,aine,related,derivation,der,labra,yes,40,5
СТОЯТЬ,постоять,0.656142800000453,j,L29,aine,related,derivation,der,labra,yes,40,5
ИГРАТЬ,поиграть,0.572120400000131,j,L29,aine,related,derivation,der,labra,yes,40,5
СТАВИТЬ,поставить,0.537660099999812,j,L29,aine,related,derivation,der,labra,yes,40,5
СЛУШАТЬ,послушать,0.537652500000149,j,L29,aine,related,derivation,der,labra,yes,40,5
ПРОСИТЬ,попросить,0.578928300000371,j,L29,aine,related,derivation,der,labra,yes,40,5
КУРИТЬ,покурить,0.611838999999236,j,L29,aine,related,derivation,der,labra,yes,40,5
СЧИТАТЬ,посчитать,0.730723900000157,j,L29,aine,related,derivation,der,labra,yes,40,5
ЖЕЛАТЬ,пожелать,0.594393200000013,j,L29,aine,related,derivation,der,labra,yes,40,5
ИСКАТЬ,поискать,0.586033700000371,j,L29,aine,related,derivation,der,labra,yes,40,5
ТЕРЯТЬ,потерять,0.646828000000824,j,L29,aine,related,derivation,der,labra,yes,40,5
ТРАТИТЬ,потратить,0.60593450000033,j,L29,aine,related,derivation,der,labra,yes,40,5
СИДЕТЬ,первый,0.582803699999204,j,L29,aine,a_unrelated,derivation,unrel,labra,yes,40,5
ДУМАТЬ,другой,0.488339399999859,j,L29,aine,a_unrelated,derivation,unrel,labra,yes,40,5
ГОВОРИТЬ,все-таки,0.763201099999606,j,L29,aine,a_unrelated,derivation,unrel,labra,yes,40,5
ЛЕЖАТЬ,полежать,0.516490799999701,j,L29,aine,related,derivation,der,labra,yes,40,5
ДЕРЖАТЬ,работа,0.948521199999959,j,L29,aine,a_unrelated,derivation,unrel,labra,yes,40,5
СТРОИТЬ,область,0.586884999999711,j,L29,aine,a_unrelated,derivation,unrel,labra,yes,40,5
ПЛАКАТЬ,плакал,0.56386669999938,j,L29,aine,related,inflection,inf,labra,yes,40,5
ВЫБРАТЬ,выбрал,0.790928099999292,j,L29,aine,related,inflection,inf,labra,yes,40,5
ВСТРЕЧАТЬ,встречал,0.572702100000242,j,L29,aine,related,inflection,inf,labra,yes,40,5
КРИЧАТЬ,кричал,0.439731099999335,j,L29,aine,related,inflection,inf,labra,yes,40,5
УБИТЬ,убил,0.583984599999894,j,L29,aine,related,inflection,inf,labra,yes,40,5
БЕЖАТЬ,бежал,0.591094700000213,j,L29,aine,related,inflection,inf,labra,yes,40,5
