target,prime,rt,key,participant,prof,primetype,relationtype,rtprime
ГОВОРИТЬ,говорить,0.9706,j,Юраssic Park,aine,identity,derivation,id
ЛЕЖАТЬ,лежать,0.757,j,Юраssic Park,aine,identity,derivation,id
ДЕРЖАТЬ,держать,0.7442,j,Юраssic Park,aine,identity,derivation,id
ВЕРИТЬ,верить,0.9355,j,Юраssic Park,aine,identity,derivation,id
СТРОИТЬ,строить,0.6207,j,Юраssic Park,aine,identity,derivation,id
ПЛАКАТЬ,плакать,0.6505,j,Юраssic Park,aine,identity,inflection,id
ВЫБРАТЬ,выбрать,1.403,j,Юраssic Park,aine,identity,inflection,id
ВСТРЕЧАТЬ,встречать,0.82,j,Юраssic Park,aine,identity,inflection,id
КРИЧАТЬ,кричать,1.1864,j,Юраssic Park,aine,identity,inflection,id
СООБЩИТЬ,сообщить,0.7807,j,Юраssic Park,aine,identity,inflection,id
УБИТЬ,убить,0.7031,j,Юраssic Park,aine,identity,inflection,id
БЕЖАТЬ,бежать,0.6978,j,Юраssic Park,aine,identity,inflection,id
БРОСИТЬ,бросить,0.6366,j,Юраssic Park,aine,identity,inflection,id
ПОНЯТЬ,понять,0.9073,j,Юраssic Park,aine,identity,inflection,id
НАЧАТЬ,начать,0.7704,j,Юраssic Park,aine,identity,inflection,id
ПИСАТЬ,писать,0.6937,j,Юраssic Park,aine,identity,inflection,id
СЛЫШАТЬ,слышать,0.6711,j,Юраssic Park,aine,identity,inflection,id
ПОМНИТЬ,помнить,0.9407,j,Юраssic Park,aine,identity,inflection,id
УЗНАТЬ,узнать,0.9995,j,Юраssic Park,aine,identity,inflection,id
ОЖИДАТЬ,ожидать,1.0993,j,Юраssic Park,aine,identity,inflection,id
СНИМАТЬ,снимать,1.0602,j,Юраssic Park,aine,identity,inflection,id
ЗАБЫТЬ,забыть,0.763,j,Юраssic Park,aine,identity,inflection,id
СОБРАТЬ,собрать,0.7153,j,Юраssic Park,aine,identity,inflection,id
СТРАДАТЬ,пострадать,0.88,j,belka,syv,related,derivation,der
СМОТРЕТЬ,посмотреть,0.669,j,belka,syv,related,derivation,der
СТОЯТЬ,постоять,0.997,j,belka,syv,related,derivation,der
ИГРАТЬ,поиграть,0.83,j,belka,syv,related,derivation,der
СТАВИТЬ,поставить,0.732,j,belka,syv,related,derivation,der
СЛУШАТЬ,послушать,0.654,j,belka,syv,related,derivation,der
ПРОСИТЬ,попросить,0.664,j,belka,syv,related,derivation,der
КУРИТЬ,покурить,0.698,j,belka,syv,related,derivation,der
СЧИТАТЬ,посчитать,0.631,j,belka,syv,related,derivation,der
ЖЕЛАТЬ,пожелать,0.73,j,belka,syv,related,derivation,der
ИСКАТЬ,поискать,0.667,j,belka,syv,related,derivation,der
ТЕРЯТЬ,потерять,0.816,j,belka,syv,related,derivation,der
ТРАТИТЬ,потратить,0.629,j,belka,syv,related,derivation,der
ЛЕЖАТЬ,полежать,0.815,j,belka,syv,related,derivation,der
ПЛАКАТЬ,плакал,0.68,j,belka,syv,related,inflection,inf
ВЫБРАТЬ,выбрал,0.814,j,belka,syv,related,inflection,inf
ВСТРЕЧАТЬ,встречал,0.597,j,belka,syv,related,inflection,inf
КРИЧАТЬ,кричал,0.73,j,belka,syv,related,inflection,inf
СООБЩИТЬ,сообщил,0.614,j,belka,syv,related,inflection,inf
УБИТЬ,убил,0.684,j,belka,syv,related,inflection,inf
БЕЖАТЬ,бежал,0.764,j,belka,syv,related,inflection,inf
УМЕТЬ,умел,0.698,j,belka,syv,related,inflection,inf
ЗАБЫТЬ,забыл,0.846,j,belka,syv,related,inflection,inf
СОБРАТЬ,собрал,0.747,j,belka,syv,related,inflection,inf
СТРАДАТЬ,пострадать,0.54169,j,ellada,perus,related,derivation,der
СМОТРЕТЬ,посмотреть,0.574525,j,ellada,perus,related,derivation,der
СТОЯТЬ,постоять,0.643145,j,ellada,perus,related,derivation,der
ИГРАТЬ,поиграть,0.53785,j,ellada,perus,related,derivation,der
СТАВИТЬ,поставить,0.569215,j,ellada,perus,related,derivation,der
СЛУШАТЬ,послушать,0.607515,j,ellada,perus,related,derivation,der
ПРОСИТЬ,попросить,1.161435,j,ellada,perus,related,derivation,der
КУРИТЬ,покурить,0.57155,j,ellada,perus,related,derivation,der
СЧИТАТЬ,посчитать,0.635145,j,ellada,perus,related,derivation,der
ЖЕЛАТЬ,пожелать,0.552695,j,ellada,perus,related,derivation,der
ИСКАТЬ,поискать,0.55222,j,ellada,perus,related,derivation,der
ТРАТИТЬ,потратить,0.72336,j,ellada,perus,related,derivation,der
ЛЕЖАТЬ,полежать,0.553505,j,ellada,perus,related,derivation,der
ПЛАКАТЬ,плакал,0.51925,j,ellada,perus,related,inflection,inf
ВЫБРАТЬ,выбрал,0.63443,j,ellada,perus,related,inflection,inf
ВСТРЕЧАТЬ,встречал,0.54731,j,ellada,perus,related,inflection,inf
КРИЧАТЬ,кричал,0.63893,j,ellada,perus,related,inflection,inf
СООБЩИТЬ,сообщил,0.56959,j,ellada,perus,related,inflection,inf
УБИТЬ,убил,0.568825,j,ellada,perus,related,inflection,inf
БЕЖАТЬ,бежал,0.64454,j,ellada,perus,related,inflection,inf
УМЕТЬ,умел,0.502375,j,ellada,perus,related,inflection,inf
ЗАБЫТЬ,забыл,0.51939,j,ellada,perus,related,inflection,inf
СОБРАТЬ,собрал,0.56956,j,ellada,perus,related,inflection,inf
СТРАДАТЬ,пострадать,0.741205,j,Hannuska,syv,related,derivation,der
СМОТРЕТЬ,посмотреть,0.663645,j,Hannuska,syv,related,derivation,der
СТОЯТЬ,постоять,0.716005,j,Hannuska,syv,related,derivation,der
ИГРАТЬ,поиграть,0.76824,j,Hannuska,syv,related,derivation,der
СТАВИТЬ,поставить,0.6918,j,Hannuska,syv,related,derivation,der
СЛУШАТЬ,послушать,0.67852,j,Hannuska,syv,related,derivation,der
ПРОСИТЬ,попросить,0.505945,j,Hannuska,syv,related,derivation,der
КУРИТЬ,покурить,0.569465,j,Hannuska,syv,related,derivation,der
СЧИТАТЬ,посчитать,0.514845,j,Hannuska,syv,related,derivation,der
ЖЕЛАТЬ,пожелать,0.691385,j,Hannuska,syv,related,derivation,der
ИСКАТЬ,поискать,0.559005,j,Hannuska,syv,related,derivation,der
ТЕРЯТЬ,потерять,0.62198,j,Hannuska,syv,related,derivation,der
ТРАТИТЬ,потратить,0.822205,j,Hannuska,syv,related,derivation,der
ЗВОНИТЬ,большой,0.64231,j,Hannuska,syv,related,derivation,der
ПЛАКАТЬ,плакал,0.520625,j,Hannuska,syv,related,inflection,inf
ВЫБРАТЬ,выбрал,0.554135,j,Hannuska,syv,related,inflection,inf
ВСТРЕЧАТЬ,встречал,0.635995,j,Hannuska,syv,related,inflection,inf
КРИЧАТЬ,кричал,0.565565,j,Hannuska,syv,related,inflection,inf
СООБЩИТЬ,сообщил,0.69662,j,Hannuska,syv,related,inflection,inf
УБИТЬ,убил,0.5418,j,Hannuska,syv,related,inflection,inf
БЕЖАТЬ,бежал,0.6398,j,Hannuska,syv,related,inflection,inf
УМЕТЬ,умел,0.64131,j,Hannuska,syv,related,inflection,inf
ЗАБЫТЬ,забыл,0.56653,j,Hannuska,syv,related,inflection,inf
СОБРАТЬ,собрал,0.638995,j,Hannuska,syv,related,inflection,inf
СТРАДАТЬ,пострадать,0.556355,j,Johonu_L2,syv,related,derivation,der
СМОТРЕТЬ,посмотреть,0.5368,j,Johonu_L2,syv,related,derivation,der
СТОЯТЬ,постоять,0.55817,j,Johonu_L2,syv,related,derivation,der
ИГРАТЬ,поиграть,0.53501,j,Johonu_L2,syv,related,derivation,der
СТАВИТЬ,поставить,0.468515,j,Johonu_L2,syv,related,derivation,der
СЛУШАТЬ,послушать,0.47491,j,Johonu_L2,syv,related,derivation,der
ПРОСИТЬ,попросить,0.55828,j,Johonu_L2,syv,related,derivation,der
КУРИТЬ,покурить,0.57476,j,Johonu_L2,syv,related,derivation,der
СЧИТАТЬ,посчитать,0.713095,j,Johonu_L2,syv,related,derivation,der
ЖЕЛАТЬ,пожелать,0.52227,j,Johonu_L2,syv,related,derivation,der
ИСКАТЬ,поискать,0.49203,j,Johonu_L2,syv,related,derivation,der
ТЕРЯТЬ,потерять,0.54036,j,Johonu_L2,syv,related,derivation,der
ТРАТИТЬ,потратить,0.61796,j,Johonu_L2,syv,related,derivation,der
ЛЕЖАТЬ,полежать,0.500455,j,Johonu_L2,syv,related,derivation,der
ПЛАКАТЬ,плакал,0.541025,j,Johonu_L2,syv,related,inflection,inf
ВЫБРАТЬ,выбрал,0.511095,j,Johonu_L2,syv,related,inflection,inf
ВСТРЕЧАТЬ,встречал,0.50731,j,Johonu_L2,syv,related,inflection,inf
КРИЧАТЬ,кричал,0.614815,j,Johonu_L2,syv,related,inflection,inf
СООБЩИТЬ,сообщил,0.5054,j,Johonu_L2,syv,related,inflection,inf
УБИТЬ,убил,0.49007,j,Johonu_L2,syv,related,inflection,inf
БЕЖАТЬ,бежал,0.47732,j,Johonu_L2,syv,related,inflection,inf
УМЕТЬ,умел,0.509205,j,Johonu_L2,syv,related,inflection,inf
ЗАБЫТЬ,забыл,0.478825,j,Johonu_L2,syv,related,inflection,inf
СОБРАТЬ,собрал,0.50866,j,Johonu_L2,syv,related,inflection,inf
СТРАДАТЬ,пострадать,0.584505,j,kotitonttu,aine,related,derivation,der
СМОТРЕТЬ,посмотреть,0.538875,j,kotitonttu,aine,related,derivation,der
СТОЯТЬ,постоять,0.649545,j,kotitonttu,aine,related,derivation,der
ИГРАТЬ,поиграть,0.56225,j,kotitonttu,aine,related,derivation,der
СТАВИТЬ,поставить,0.626555,j,kotitonttu,aine,related,derivation,der
СЛУШАТЬ,послушать,0.58476,j,kotitonttu,aine,related,derivation,der
ПРОСИТЬ,попросить,0.608415,j,kotitonttu,aine,related,derivation,der
КУРИТЬ,покурить,0.55857,j,kotitonttu,aine,related,derivation,der
СЧИТАТЬ,посчитать,0.62567,j,kotitonttu,aine,related,derivation,der
ЖЕЛАТЬ,пожелать,0.549165,j,kotitonttu,aine,related,derivation,der
ИСКАТЬ,поискать,0.58328,j,kotitonttu,aine,related,derivation,der
ТЕРЯТЬ,потерять,0.662885,j,kotitonttu,aine,related,derivation,der
ТРАТИТЬ,потратить,0.6964,j,kotitonttu,aine,related,derivation,der
ЛЕЖАТЬ,полежать,0.542075,j,kotitonttu,aine,related,derivation,der
ПЛАКАТЬ,плакал,0.499,j,kotitonttu,aine,related,inflection,inf
ВЫБРАТЬ,выбрал,0.535575,j,kotitonttu,aine,related,inflection,inf
ВСТРЕЧАТЬ,встречал,0.468715,j,kotitonttu,aine,related,inflection,inf
КРИЧАТЬ,кричал,0.62224,j,kotitonttu,aine,related,inflection,inf
СООБЩИТЬ,сообщил,0.519855,j,kotitonttu,aine,related,inflection,inf
УБИТЬ,убил,0.47121,j,kotitonttu,aine,related,inflection,inf
БЕЖАТЬ,бежал,0.554445,j,kotitonttu,aine,related,inflection,inf
УМЕТЬ,умел,0.618895,j,kotitonttu,aine,related,inflection,inf
ЗАБЫТЬ,забыл,0.51691,j,kotitonttu,aine,related,inflection,inf
СОБРАТЬ,собрал,0.615745,j,kotitonttu,aine,related,inflection,inf
СТРАДАТЬ,пострадать,0.72331,j,miisa_L2,aine,related,derivation,der
СМОТРЕТЬ,посмотреть,0.61903,j,miisa_L2,aine,related,derivation,der
СТОЯТЬ,постоять,0.683595,j,miisa_L2,aine,related,derivation,der
ИГРАТЬ,поиграть,1.104425,j,miisa_L2,aine,related,derivation,der
СЛУШАТЬ,послушать,0.634935,j,miisa_L2,aine,related,derivation,der
ПРОСИТЬ,попросить,0.73597,j,miisa_L2,aine,related,derivation,der
КУРИТЬ,покурить,0.667515,j,miisa_L2,aine,related,derivation,der
СЧИТАТЬ,посчитать,0.784915,j,miisa_L2,aine,related,derivation,der
ЖЕЛАТЬ,пожелать,0.83235,j,miisa_L2,aine,related,derivation,der
ИСКАТЬ,поискать,0.651095,j,miisa_L2,aine,related,derivation,der
ЛЕЖАТЬ,полежать,0.61953,j,miisa_L2,aine,related,derivation,der
ПЛАКАТЬ,плакал,0.82191,j,miisa_L2,aine,related,inflection,inf
ВЫБРАТЬ,выбрал,0.688395,j,miisa_L2,aine,related,inflection,inf
ВСТРЕЧАТЬ,встречал,0.75061,j,miisa_L2,aine,related,inflection,inf
СООБЩИТЬ,сообщил,1.107385,j,miisa_L2,aine,related,inflection,inf
УБИТЬ,убил,0.72674,j,miisa_L2,aine,related,inflection,inf
БЕЖАТЬ,бежал,0.934205,j,miisa_L2,aine,related,inflection,inf
УМЕТЬ,умел,0.655305,j,miisa_L2,aine,related,inflection,inf
СОБРАТЬ,собрал,0.66856,j,miisa_L2,aine,related,inflection,inf
СТРАДАТЬ,пострадать,0.48576,j,svet_L2,syv,related,derivation,der
СМОТРЕТЬ,посмотреть,0.518965,j,svet_L2,syv,related,derivation,der
СТОЯТЬ,постоять,0.66044,j,svet_L2,syv,related,derivation,der
ИГРАТЬ,поиграть,0.507825,j,svet_L2,syv,related,derivation,der
СТАВИТЬ,поставить,0.4366,j,svet_L2,syv,related,derivation,der
СЛУШАТЬ,послушать,0.459565,j,svet_L2,syv,related,derivation,der
ПРОСИТЬ,попросить,0.698615,j,svet_L2,syv,related,derivation,der
КУРИТЬ,покурить,0.632965,j,svet_L2,syv,related,derivation,der
СЧИТАТЬ,посчитать,0.66584,j,svet_L2,syv,related,derivation,der
ЖЕЛАТЬ,пожелать,0.49478,j,svet_L2,syv,related,derivation,der
ИСКАТЬ,поискать,0.557015,j,svet_L2,syv,related,derivation,der
ТЕРЯТЬ,потерять,0.54367,j,svet_L2,syv,related,derivation,der
ТРАТИТЬ,потратить,0.450535,j,svet_L2,syv,related,derivation,der
ЛЕЖАТЬ,полежать,0.59792,j,svet_L2,syv,related,derivation,der
ПЛАКАТЬ,плакал,0.57076,j,svet_L2,syv,related,inflection,inf
ВЫБРАТЬ,выбрал,0.39224,j,svet_L2,syv,related,inflection,inf
ВСТРЕЧАТЬ,встречал,0.42524,j,svet_L2,syv,related,inflection,inf
КРИЧАТЬ,кричал,0.41581,j,svet_L2,syv,related,inflection,inf
СООБЩИТЬ,сообщил,0.435245,j,svet_L2,syv,related,inflection,inf
УБИТЬ,убил,0.423705,j,svet_L2,syv,related,inflection,inf
БЕЖАТЬ,бежал,0.52228,j,svet_L2,syv,related,inflection,inf
УМЕТЬ,умел,0.448745,j,svet_L2,syv,related,inflection,inf
СОБРАТЬ,собрал,0.59141,j,svet_L2,syv,related,inflection,inf
СТРАДАТЬ,пострадать,0.932,j,vastaaja_L2,syv,related,derivation,der
СМОТРЕТЬ,посмотреть,0.682,j,vastaaja_L2,syv,related,derivation,der
СТОЯТЬ,постоять,0.615,j,vastaaja_L2,syv,related,derivation,der
ИГРАТЬ,поиграть,0.601,j,vastaaja_L2,syv,related,derivation,der
СТАВИТЬ,поставить,0.598,j,vastaaja_L2,syv,related,derivation,der
СЛУШАТЬ,послушать,0.615,j,vastaaja_L2,syv,related,derivation,der
ПРОСИТЬ,попросить,0.62,j,vastaaja_L2,syv,related,derivation,der
КУРИТЬ,покурить,0.651,j,vastaaja_L2,syv,related,derivation,der
СЧИТАТЬ,посчитать,0.804,j,vastaaja_L2,syv,related,derivation,der
ЖЕЛАТЬ,пожелать,0.75,j,vastaaja_L2,syv,related,derivation,der
ИСКАТЬ,поискать,0.567,j,vastaaja_L2,syv,related,derivation,der
ТЕРЯТЬ,потерять,0.723,j,vastaaja_L2,syv,related,derivation,der
ТРАТИТЬ,потратить,0.783,j,vastaaja_L2,syv,related,derivation,der
ЛЕЖАТЬ,полежать,0.633,j,vastaaja_L2,syv,related,derivation,der
ПЛАКАТЬ,плакал,0.584,j,vastaaja_L2,syv,related,inflection,inf
ВЫБРАТЬ,выбрал,0.621,j,vastaaja_L2,syv,related,inflection,inf
ВСТРЕЧАТЬ,встречал,0.783,j,vastaaja_L2,syv,related,inflection,inf
КРИЧАТЬ,кричал,0.637,j,vastaaja_L2,syv,related,inflection,inf
СООБЩИТЬ,сообщил,0.648,j,vastaaja_L2,syv,related,inflection,inf
УБИТЬ,убил,0.72,j,vastaaja_L2,syv,related,inflection,inf
БЕЖАТЬ,бежал,0.652,j,vastaaja_L2,syv,related,inflection,inf
УМЕТЬ,умел,0.581,j,vastaaja_L2,syv,related,inflection,inf
ЗАБЫТЬ,забыл,1.116,j,vastaaja_L2,syv,related,inflection,inf
СОБРАТЬ,собрал,0.568,j,vastaaja_L2,syv,related,inflection,inf
СТРАДАТЬ,пострадать,0.754,j,vieraana_L2,aine,related,derivation,der
СМОТРЕТЬ,посмотреть,0.421,j,vieraana_L2,aine,related,derivation,der
СТОЯТЬ,постоять,0.572,j,vieraana_L2,aine,related,derivation,der
ИГРАТЬ,поиграть,0.583,j,vieraana_L2,aine,related,derivation,der
СТАВИТЬ,поставить,0.505,j,vieraana_L2,aine,related,derivation,der
СЛУШАТЬ,послушать,0.571,j,vieraana_L2,aine,related,derivation,der
ПРОСИТЬ,попросить,0.571,j,vieraana_L2,aine,related,derivation,der
КУРИТЬ,покурить,0.623,j,vieraana_L2,aine,related,derivation,der
СЧИТАТЬ,посчитать,0.84,j,vieraana_L2,aine,related,derivation,der
ЖЕЛАТЬ,пожелать,0.506,j,vieraana_L2,aine,related,derivation,der
ИСКАТЬ,поискать,0.44,j,vieraana_L2,aine,related,derivation,der
ЛЕЖАТЬ,полежать,0.592,j,vieraana_L2,aine,related,derivation,der
ПЛАКАТЬ,плакал,0.89,j,vieraana_L2,aine,related,inflection,inf
ВЫБРАТЬ,выбрал,2.382,j,vieraana_L2,aine,related,inflection,inf
ВСТРЕЧАТЬ,встречал,0.658,j,vieraana_L2,aine,related,inflection,inf
КРИЧАТЬ,кричал,0.666,j,vieraana_L2,aine,related,inflection,inf
СООБЩИТЬ,сообщил,0.988,j,vieraana_L2,aine,related,inflection,inf
УБИТЬ,убил,0.692,j,vieraana_L2,aine,related,inflection,inf
УМЕТЬ,умел,0.704,j,vieraana_L2,aine,related,inflection,inf
СОБРАТЬ,собрал,0.621,j,vieraana_L2,aine,related,inflection,inf
СТРАДАТЬ,пострадать,1.315315,j,xyz L2,perus,related,derivation,der
СМОТРЕТЬ,посмотреть,0.53179,j,xyz L2,perus,related,derivation,der
СТОЯТЬ,постоять,0.64868,j,xyz L2,perus,related,derivation,der
ИГРАТЬ,поиграть,0.6945,j,xyz L2,perus,related,derivation,der
СТАВИТЬ,поставить,1.069505,j,xyz L2,perus,related,derivation,der
СЛУШАТЬ,послушать,0.567325,j,xyz L2,perus,related,derivation,der
ПРОСИТЬ,попросить,1.08377,j,xyz L2,perus,related,derivation,der
КУРИТЬ,покурить,0.615935,j,xyz L2,perus,related,derivation,der
СЧИТАТЬ,посчитать,0.586205,j,xyz L2,perus,related,derivation,der
ИСКАТЬ,поискать,0.6516,j,xyz L2,perus,related,derivation,der
ТРАТИТЬ,потратить,1.239855,j,xyz L2,perus,related,derivation,der
ЛЕЖАТЬ,полежать,0.5155,j,xyz L2,perus,related,derivation,der
ПЛАКАТЬ,плакал,0.722515,j,xyz L2,perus,related,inflection,inf
ВЫБРАТЬ,выбрал,0.982015,j,xyz L2,perus,related,inflection,inf
ВСТРЕЧАТЬ,встречал,1.436465,j,xyz L2,perus,related,inflection,inf
СООБЩИТЬ,сообщил,1.10326,j,xyz L2,perus,related,inflection,inf
УБИТЬ,убил,0.84055,j,xyz L2,perus,related,inflection,inf
БЕЖАТЬ,бежал,0.791895,j,xyz L2,perus,related,inflection,inf
УМЕТЬ,умел,0.637705,j,xyz L2,perus,related,inflection,inf
СОБРАТЬ,собрал,1.53372,j,xyz L2,perus,related,inflection,inf
СИДЕТЬ,посидеть,0.596,j,april2021,syv,related,derivation,der
ГОВОРИТЬ,поговорить,0.622,j,april2021,syv,related,derivation,der
ДЕРЖАТЬ,подержать,0.678,j,april2021,syv,related,derivation,der
ВЕРИТЬ,поверить,0.681,j,april2021,syv,related,derivation,der
БРОСИТЬ,бросил,0.631,j,april2021,syv,related,inflection,inf
ПОНЯТЬ,понял,0.518,j,april2021,syv,related,inflection,inf
НАЧАТЬ,начал,0.549,j,april2021,syv,related,inflection,inf
ПИСАТЬ,писал,0.531,j,april2021,syv,related,inflection,inf
РЕШИТЬ,решил,0.55,j,april2021,syv,related,inflection,inf
СЛЫШАТЬ,слышал,0.623,j,april2021,syv,related,inflection,inf
ПОМНИТЬ,помнил,0.677,j,april2021,syv,related,inflection,inf
УЗНАТЬ,узнал,0.534,j,april2021,syv,related,inflection,inf
СНИМАТЬ,снимал,0.576,j,april2021,syv,related,inflection,inf
СИДЕТЬ,посидеть,0.727615,j,Branta Leucopsis,syv,related,derivation,der
ГОВОРИТЬ,поговорить,0.885765,j,Branta Leucopsis,syv,related,derivation,der
ДЕРЖАТЬ,подержать,0.717535,j,Branta Leucopsis,syv,related,derivation,der
ВЕРИТЬ,поверить,0.878165,j,Branta Leucopsis,syv,related,derivation,der
СТРОИТЬ,построить,0.94592,j,Branta Leucopsis,syv,related,derivation,der
БРОСИТЬ,бросил,0.79663,j,Branta Leucopsis,syv,related,inflection,inf
ПОНЯТЬ,понял,0.703645,j,Branta Leucopsis,syv,related,inflection,inf
НАЧАТЬ,начал,0.65497,j,Branta Leucopsis,syv,related,inflection,inf
ПИСАТЬ,писал,0.63775,j,Branta Leucopsis,syv,related,inflection,inf
РЕШИТЬ,решил,0.689265,j,Branta Leucopsis,syv,related,inflection,inf
СЛЫШАТЬ,слышал,0.669255,j,Branta Leucopsis,syv,related,inflection,inf
ПОМНИТЬ,помнил,0.84566,j,Branta Leucopsis,syv,related,inflection,inf
УЗНАТЬ,узнал,0.727045,j,Branta Leucopsis,syv,related,inflection,inf
ОЖИДАТЬ,ожидал,0.890565,j,Branta Leucopsis,syv,related,inflection,inf
СНИМАТЬ,снимал,0.67449,j,Branta Leucopsis,syv,related,inflection,inf
СИДЕТЬ,посидеть,0.484095,j,TP,aine,related,derivation,der
ГОВОРИТЬ,поговорить,0.505515,j,TP,aine,related,derivation,der
ДЕРЖАТЬ,подержать,0.48481,j,TP,aine,related,derivation,der
ВЕРИТЬ,поверить,0.83043,j,TP,aine,related,derivation,der
СТРОИТЬ,построить,0.500665,j,TP,aine,related,derivation,der
БРОСИТЬ,бросил,0.50717,j,TP,aine,related,inflection,der
ПОНЯТЬ,понял,0.623795,j,TP,aine,related,inflection,der
НАЧАТЬ,начал,0.784735,j,TP,aine,related,inflection,der
ПИСАТЬ,писал,0.58495,j,TP,aine,related,inflection,der
РЕШИТЬ,решил,0.4831,j,TP,aine,related,inflection,der
СЛЫШАТЬ,слышал,0.51986,j,TP,aine,related,inflection,der
ПОМНИТЬ,помнил,0.584505,j,TP,aine,related,inflection,der
УЗНАТЬ,узнал,0.47855,j,TP,aine,related,inflection,der
СНИМАТЬ,снимал,0.52444,j,TP,aine,related,inflection,der
СИДЕТЬ,посидеть,0.659545,j,DEO_L2,syv,related,derivation,der
ГОВОРИТЬ,поговорить,0.6513,j,DEO_L2,syv,related,derivation,der
ДЕРЖАТЬ,подержать,0.635115,j,DEO_L2,syv,related,derivation,der
ВЕРИТЬ,поверить,0.67568,j,DEO_L2,syv,related,derivation,der
СТРОИТЬ,построить,0.729155,j,DEO_L2,syv,related,derivation,der
БРОСИТЬ,бросил,0.5847,j,DEO_L2,syv,related,inflection,inf
ПОНЯТЬ,понял,0.701765,j,DEO_L2,syv,related,inflection,inf
НАЧАТЬ,начал,0.532785,j,DEO_L2,syv,related,inflection,inf
ПИСАТЬ,писал,0.52867,j,DEO_L2,syv,related,inflection,inf
РЕШИТЬ,решил,0.650835,j,DEO_L2,syv,related,inflection,inf
СЛЫШАТЬ,слышал,0.681045,j,DEO_L2,syv,related,inflection,inf
ПОМНИТЬ,помнил,1.00019,j,DEO_L2,syv,related,inflection,inf
УЗНАТЬ,узнал,0.64009,j,DEO_L2,syv,related,inflection,inf
ОЖИДАТЬ,ожидал,0.748065,j,DEO_L2,syv,related,inflection,inf
СНИМАТЬ,снимал,0.730955,j,DEO_L2,syv,related,inflection,inf
ГОВОРИТЬ,поговорить,0.636115,j,huoletonL2,perus,related,derivation,der
ВЕРИТЬ,поверить,1.03429,j,huoletonL2,perus,related,derivation,der
СТРОИТЬ,построить,0.78447,j,huoletonL2,perus,related,derivation,der
БРОСИТЬ,бросил,0.689145,j,huoletonL2,perus,related,inflection,inf
ПОНЯТЬ,понял,0.767205,j,huoletonL2,perus,related,inflection,inf
НАЧАТЬ,начал,0.83241,j,huoletonL2,perus,related,inflection,inf
ПИСАТЬ,писал,0.60425,j,huoletonL2,perus,related,inflection,inf
РЕШИТЬ,решил,0.67072,j,huoletonL2,perus,related,inflection,inf
СЛЫШАТЬ,слышал,0.684075,j,huoletonL2,perus,related,inflection,inf
ПОМНИТЬ,помнил,0.618395,j,huoletonL2,perus,related,inflection,inf
УЗНАТЬ,узнал,0.65707,j,huoletonL2,perus,related,inflection,inf
СНИМАТЬ,снимал,0.737085,j,huoletonL2,perus,related,inflection,inf
СИДЕТЬ,посидеть,0.68968,j,Konona_L2,aine,related,derivation,der
ГОВОРИТЬ,поговорить,0.717355,j,Konona_L2,aine,related,derivation,der
ДЕРЖАТЬ,подержать,0.668235,j,Konona_L2,aine,related,derivation,der
ВЕРИТЬ,поверить,1.07484,j,Konona_L2,aine,related,derivation,der
СТРОИТЬ,построить,0.84498,j,Konona_L2,aine,related,derivation,der
БРОСИТЬ,бросил,0.67226,j,Konona_L2,aine,related,inflection,inf
ПОНЯТЬ,понял,0.79425,j,Konona_L2,aine,related,inflection,inf
НАЧАТЬ,начал,1.216255,j,Konona_L2,aine,related,inflection,inf
ПИСАТЬ,писал,0.64135,j,Konona_L2,aine,related,inflection,inf
РЕШИТЬ,решил,0.645875,j,Konona_L2,aine,related,inflection,inf
СЛЫШАТЬ,слышал,1.017,j,Konona_L2,aine,related,inflection,inf
ПОМНИТЬ,помнил,1.57678,j,Konona_L2,aine,related,inflection,inf
УЗНАТЬ,узнал,0.7278,j,Konona_L2,aine,related,inflection,inf
ОЖИДАТЬ,ожидал,0.959245,j,Konona_L2,aine,related,inflection,inf
СНИМАТЬ,снимал,1.55024,j,Konona_L2,aine,related,inflection,inf
СИДЕТЬ,посидеть,0.519865,j,lapaL2,aine,related,derivation,der
ГОВОРИТЬ,поговорить,0.561905,j,lapaL2,aine,related,derivation,der
ДЕРЖАТЬ,подержать,0.568835,j,lapaL2,aine,related,derivation,der
ВЕРИТЬ,поверить,0.676485,j,lapaL2,aine,related,derivation,der
СТРОИТЬ,построить,0.55944,j,lapaL2,aine,related,derivation,der
БРОСИТЬ,бросил,0.633755,j,lapaL2,aine,related,inflection,inf
ПОНЯТЬ,понял,0.750235,j,lapaL2,aine,related,inflection,inf
НАЧАТЬ,начал,0.637195,j,lapaL2,aine,related,inflection,inf
ПИСАТЬ,писал,0.567085,j,lapaL2,aine,related,inflection,inf
РЕШИТЬ,решил,0.609905,j,lapaL2,aine,related,inflection,inf
СЛЫШАТЬ,слышал,0.63778,j,lapaL2,aine,related,inflection,inf
ПОМНИТЬ,помнил,0.525655,j,lapaL2,aine,related,inflection,inf
УЗНАТЬ,узнал,0.544925,j,lapaL2,aine,related,inflection,inf
СНИМАТЬ,снимал,0.858425,j,lapaL2,aine,related,inflection,inf
СИДЕТЬ,посидеть,0.718,j,Laura L2,syv,related,derivation,der
ГОВОРИТЬ,поговорить,0.877,j,Laura L2,syv,related,derivation,der
ДЕРЖАТЬ,подержать,0.781,j,Laura L2,syv,related,derivation,der
ВЕРИТЬ,поверить,0.627,j,Laura L2,syv,related,derivation,der
СТРОИТЬ,построить,0.935,j,Laura L2,syv,related,derivation,der
